"year","weekend_pc"
"2020","22.18272461409923"
"2019","20.530521324977798"
"2018","20.68290648108895"
"2017","19.99774086718912"
"2016","20.546608589571786"
"2015","20.95293741356844"
"2014","19.780700032990186"
"2013","19.892676546819015"
"2012","19.607782341039055"
"2011","20.007926786651545"
"2010","19.997501639190816"
"2009","20.35244942347554"
"2008","20.29945368476929"
"2007","20.14962003650349"
"2006","20.822660552283885"
"2005","21.67451240473386"
"2004","21.988367485816006"
"2003","20.723169339933577"
"2002","21.607655615586843"
"2001","20.78736225090642"
"2000","42.85603835147617"
"1999","21.848304661255412"
"1998","21.90356418402054"
"1997","23.309065149061816"
"1996","24.003658490589757"
"1995","25.882116445949734"
"1994","23.555981059476768"
"1993","24.17510946741657"
"1992","18.02602201863115"
"1991","19.10392702525027"
"1990","32.0979845317846"
"1989","17.14538551070851"
"1988","21.84132771987062"
"1987","19.2511804994257"
"1986","22.376839245533446"
"1985","23.9565768715906"
"1984","28.191335051845467"
"1983","24.510532780979002"
"1982","26.84414550422234"
"1981","26.47970106780495"
"1980","23.656290005308023"
"1979","12.801122984966492"
"1978","12.337225804845255"
"1977","24.122714856062196"
"1976","24.59066721244372"
"1975","8.396752917300862"
"1974","14.355016538037486"
"1973","17.28656518861681"
"1972","22.789626514468807"
"1971","25.51558752997602"
